"Effect","Estimate","lCI","uCI"
"Intercept",0.258022611129922,0.242483080583948,0.27188138650561
"spatial",-0.0319755381938047,-0.0356247876349505,-0.0283776193550907
"BMI",-0.0077109627442401,-0.0222686361927522,0.00707153341931704
"Sex1",0.000323433900859709,-0.00155300416754578,0.00225562436011068
"HFI",-0.00566329415855051,-0.00869524736043768,-0.00263370177148742
"Infec",-0.182112950863107,-0.220494335839605,-0.14235585376534
"HFI:Infec",0.0115599605102104,-0.00608376127590128,0.0290332639089871
