"Effect","Estimate","lCI","uCI"
"Intercept",0.238371441459181,0.223724554084979,0.254036140880371
"spatial",-0.0348711238871551,-0.0384125377089097,-0.0313424564249812
"BMI",-0.0107417324606768,-0.0276693540292551,0.00589046789674611
"Age1",0.0265526967715239,0.0197372084269008,0.0333100766909553
"HFI",-0.00464692861687459,-0.00754493531863978,-0.00167242801808959
"Infec",-0.184032158858353,-0.224186534156965,-0.145591105675926
"HFI:Infec",0.013925133487271,-0.00297292914209478,0.0310828154286613
